lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
48,0,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10678738355636597,0.3195821825425983,89.1,72.48,354.8617858886719,43264.69837123326,89.1,-3472183.3,0.19226800233125688,0.02354021629742983,113.7,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,5,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10699329525232315,0.3358370578249118,89.07,71.36,355.546142578125,43199.69402901785,89.07,-3464148.83,0.14044240043312312,0.014509189145950556,127.51,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,10,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10452210903167725,0.31534060465748465,89.33,72.59,347.3340759277344,44790.74561825707,89.33,-3568646.09,0.11872642509639263,0.011056315522506348,125.74,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,16,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10557381063699722,0.30566681161012854,89.22,73.43,350.8290100097656,44748.92996593657,89.22,-3570152.72,0.11319690739363432,0.010116338379811407,124.49,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,21,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10540900379419327,0.30883041792549193,89.24,73.14,350.2814025878906,45101.60197405134,89.24,-3594279.5,0.1104605753198266,0.01004255717674806,119.28,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,26,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10552417486906052,0.314690536475696,89.22,72.92,350.6641540527344,47020.769691685266,89.22,-3736962.19,0.10924000131338835,0.009819604661627698,120.54,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,31,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10484559088945389,0.3159876677074603,89.29,72.61,348.4090576171875,46178.15396554129,89.29,-3673200.22,0.10744198291748762,0.009873052906364142,120.44,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,37,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.1058606281876564,0.31647485619455223,89.19,72.64,351.7823181152344,46517.55094052269,89.19,-3701659.76,0.10699527559429407,0.00992393252600162,119.42,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,42,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10520004481077194,0.32118723620882345,89.26,72.22,349.5869140625,46997.96337309338,89.26,-3728217.45,0.10572666511684656,0.00964324972102198,123.85,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
48,47,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.11017914861440659,0.30655384667639046,88.75,73.31,366.1328125,47775.22304106213,88.75,-3791575.14,0.11034781984239816,0.010227194217626516,123.0,108000,2025_12_03-07_04_35,no,LSTM,stateless,cuda,StandardScaler
96,0,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09293470531702042,0.3244401183245437,90.43,71.97,308.82830810546875,47203.31711658296,90.43,-3748920.79,0.14695619041472674,0.015440488871114894,133.45,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,7,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09312722086906433,0.3174447812306296,90.41,72.38,309.4681701660156,46941.64938325428,90.41,-3740745.18,0.11335420814156533,0.009458158142532272,137.04,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,14,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09288416057825089,0.33143679183530844,90.44,71.72,308.6605224609375,45753.13470052083,90.44,-3658083.28,0.10376404190063476,0.008222377303738097,137.55,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,20,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09460803121328354,0.32165600788513465,90.26,71.87,314.38897705078125,47413.77329508463,90.26,-3765249.09,0.10286037658900023,0.008248280473299709,128.89,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,27,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09446360915899277,0.3121621330734342,90.27,72.86,313.9091491699219,47845.9489054362,90.27,-3807626.31,0.10111628379672766,0.008063044817538254,138.66,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,34,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09618685394525528,0.32130762861287665,90.1,72.2,319.63555908203125,47208.56696719215,90.1,-3761592.84,0.10083854941278696,0.008173780679664412,135.2,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,41,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09434018284082413,0.30447739302624194,90.29,73.15,313.4988098144531,48451.29421851748,90.29,-3843883.87,0.0981456943154335,0.007904301131208024,135.33,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,48,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09344425052404404,0.30736620407995013,90.38,72.79,310.5216369628906,48439.151692708336,90.38,-3844026.56,0.09728366984426975,0.007898208544429564,134.02,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,54,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09848185628652573,0.31377666417642364,89.86,72.52,327.2619934082031,49843.00891113281,89.86,-3937631.49,0.09919015781581401,0.007917719105960397,138.93,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,61,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09374704211950302,0.32311420480809394,90.35,71.64,311.52789306640625,49060.109168061754,90.35,-3877425.36,0.09485969382524491,0.008010040984012748,131.33,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,68,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09380117803812027,0.3062111233926511,90.34,73.15,311.707763671875,47773.7715797061,90.34,-3795248.76,0.09442330665141344,0.008318249045741589,135.11,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,75,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09638290852308273,0.31586819233461505,90.08,72.46,320.2869567871094,47324.148935663135,90.08,-3764153.17,0.09543180171400309,0.00839107284722979,136.19,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,81,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09603361040353775,0.3238842551917991,90.11,71.67,319.1263122558594,47982.44072905041,90.11,-3786432.89,0.09640817581862211,0.008032582005801312,130.76,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,88,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.09592943638563156,0.3260466691383737,90.12,71.77,318.7801208496094,48898.528097679504,90.12,-3865393.48,0.0967027355954051,0.008339733396195597,131.8,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
96,95,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.10287100076675415,0.327718768408522,89.41,71.75,341.8474426269531,48251.47711065383,89.41,-3820883.05,0.10389343969523906,0.008900107644125672,135.33,107200,2025_12_03-07_25_23,no,LSTM,stateless,cuda,StandardScaler
192,0,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.08322723954916,0.33757618421888247,91.27,70.84,276.56976318359375,46470.83838471912,91.27,-3696383.31,0.11927151211351156,0.010686495841727373,175.77,105600,2025_12_03-07_59_52,no,LSTM,stateless,cuda,StandardScaler
192,10,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.0845208391547203,0.36341123150195925,91.13,68.77,280.8684997558594,49493.861067708334,91.13,-3917267.01,0.09725334221869707,0.007436362798799982,177.56,105600,2025_12_03-07_59_52,no,LSTM,stateless,cuda,StandardScaler
192,20,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.0820407047867775,0.3417867534461298,91.39,70.24,272.626953125,49396.19941289993,91.39,-3898694.74,0.09130957195907831,0.006853544528801924,182.15,105600,2025_12_03-07_59_52,no,LSTM,stateless,cuda,StandardScaler
192,30,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.08580633252859116,0.32439154111004126,91.0,71.61,285.1403503417969,47607.761005510605,91.0,-3785391.84,0.09235536045581103,0.006595626442389042,177.15,105600,2025_12_03-07_59_52,no,LSTM,stateless,cuda,StandardScaler
192,40,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.08617556840181351,0.3287237715707826,90.96,71.22,286.3673400878906,48054.45740618025,90.96,-3820712.65,0.09180930967628956,0.006409268741566976,179.29,105600,2025_12_03-07_59_52,no,LSTM,stateless,cuda,StandardScaler
192,50,96,1,96,1,96,400,24,5e-05,6640,3360,5,0.08502364158630371,0.31923998801059844,91.08,71.87,282.53924560546875,47967.40221121652,91.08,-3813101.35,0.08893499749153852,0.006264744857984971,171.56,105600,2025_12_03-07_59_52,no,LSTM,stateless,cuda,StandardScaler
