timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
100,0,1500,100,0.0003,1,8,1,2,97.55,97.16,96.13,0.022899460047483444,0.027374856173992157,0.035265542566776276,97.55,97.16,96.13,32.10966873168945,37.35639190673828,46.794925689697266,0.13716740377247333,0.012244834438413439,111.68,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,5,1500,100,0.0003,1,8,1,2,97.25,96.52,96.41,0.024906955659389496,0.03172184154391289,0.03119567222893238,97.25,96.52,96.41,36.157039642333984,42.99880599975586,44.725746154785156,0.11567568205296994,0.009300981828475545,121.72,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,10,1500,100,0.0003,1,8,1,2,97.39,95.97,96.29,0.024282535538077354,0.03837544843554497,0.03341144695878029,97.39,95.97,96.29,32.72873306274414,51.02863311767578,44.122894287109375,0.1012309618294239,0.007907571804143304,127.16,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,16,1500,100,0.0003,1,8,1,2,97.63,95.85,96.64,0.022073812782764435,0.03822442889213562,0.029875999316573143,97.63,95.85,96.64,32.65331268310547,58.518070220947266,43.872406005859375,0.08553632371127605,0.00705312410088554,137.24,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,21,1500,100,0.0003,1,8,1,2,97.75,96.32,97.15,0.02081061154603958,0.03408433496952057,0.02491413988173008,97.75,96.32,97.15,30.53873634338379,49.68876266479492,35.688079833984375,0.07438466642051936,0.006045893582368592,131.7,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,26,1500,100,0.0003,1,8,1,2,97.84,96.44,96.97,0.02013382874429226,0.03335202857851982,0.026775773614645004,97.84,96.44,96.97,31.646896362304688,52.6606330871582,40.855567932128906,0.06340632338076829,0.0050814780166958005,132.33,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,31,1500,100,0.0003,1,8,1,2,97.74,96.76,97.34,0.02085483819246292,0.03050921857357025,0.023416288197040558,97.74,96.76,97.34,29.015098571777344,40.7095832824707,32.805301666259766,0.05763267647475004,0.0051489248299745275,136.08,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,36,1500,100,0.0003,1,8,1,2,97.78,96.84,97.35,0.020476985722780228,0.029666509479284286,0.0234109815210104,97.78,96.84,97.35,31.139724731445312,40.542964935302734,34.53965377807617,0.05235406219959259,0.004660897960367328,140.16,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,42,1500,100,0.0003,1,8,1,2,98.15,97.47,97.97,0.017263425514101982,0.023648424074053764,0.017989639192819595,98.15,97.47,97.97,26.116710662841797,33.55830764770508,26.61056137084961,0.044645970910787584,0.0044114936258604675,145.54,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,47,1500,100,0.0003,1,8,1,2,98.34,97.69,98.23,0.015703128650784492,0.02187815122306347,0.01562674529850483,98.34,97.69,98.23,24.736289978027344,32.505279541015625,24.413719177246094,0.039780167751014235,0.004032978627513079,139.43,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,52,1500,100,0.0003,1,8,1,2,98.39,97.48,98.09,0.015181917697191238,0.023705117404460907,0.016909681260585785,98.39,97.48,98.09,25.34551239013672,35.52234649658203,26.12464141845703,0.037551168203353885,0.004175116447304637,142.35,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,57,1500,100,0.0003,1,8,1,2,98.56,97.68,98.33,0.013606254011392593,0.02218623273074627,0.014978568069636822,98.56,97.68,98.33,21.15960121154785,29.789531707763672,21.614055633544922,0.034649559035897254,0.004158164865365918,129.13,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
100,63,1500,100,0.0003,1,8,1,2,98.56,97.63,98.42,0.013599398545920849,0.022992677986621857,0.01419756468385458,98.56,97.63,98.42,21.068326950073242,29.835681915283203,19.79692268371582,0.031229682862758637,0.0037974890852274187,139.27,100,97500,2025_12_02-11_26_34,no,LSTM,stateless,cuda,StandardScaler
