timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
100,0,400,100,0.0001,1,8,1,1,99.76,99.78,99.71,0.002419138327240944,0.002266497351229191,0.00291129807010293,99.76,99.78,99.71,7.228843969642185e-06,6.772723736503394e-06,8.699509635334834e-06,0.1446947030723095,0.014473036061819343,101.72,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,5,400,100,0.0001,1,8,1,1,99.77,99.8,99.71,0.002309725619852543,0.002128452528268099,0.00288883363828063,99.77,99.8,99.71,6.9018974500068e-06,6.3602192312828265e-06,8.632381650386378e-06,0.10792119115591049,0.010800064232331057,104.43,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,10,400,100,0.0001,1,8,1,1,99.78,99.81,99.72,0.0022013315465301275,0.002020185813307762,0.0028133303858339787,99.78,99.81,99.72,6.5779954638856e-06,6.0366978686943185e-06,8.40676420921227e-06,0.08094596810638904,0.008123080067617769,97.85,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,16,400,100,0.0001,1,8,1,1,99.81,99.83,99.74,0.0019305308815091848,0.001782712759450078,0.0026099232491105795,99.81,99.83,99.74,5.768792107119225e-06,5.3270837270247284e-06,7.798944352543913e-06,0.05787513595074415,0.005887947334806721,97.27,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,21,400,100,0.0001,1,8,1,1,99.84,99.86,99.76,0.001615492976270616,0.0014951328048482537,0.002370801754295826,99.84,99.86,99.76,4.827399152418366e-06,4.467739927349612e-06,7.08440393282217e-06,0.044047149159014226,0.004492240838766014,94.74,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,26,400,100,0.0001,1,8,1,1,99.87,99.88,99.79,0.0013054015580564737,0.0012001392897218466,0.0021224175579845905,99.87,99.88,99.79,3.90078730561072e-06,3.586243792597088e-06,6.342186225083424e-06,0.03366098847240209,0.0034286091247339727,98.04,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,31,400,100,0.0001,1,8,1,1,99.9,99.91,99.81,0.0010039790067821741,0.0009575203876011074,0.0019080169731751084,99.9,99.91,99.81,3.0000794595252955e-06,2.8612523692572722e-06,5.701516329281731e-06,0.025812202617526054,0.002612422367598597,109.79,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,36,400,100,0.0001,1,8,1,1,99.92,99.92,99.81,0.0008168762433342636,0.0008518332615494728,0.001811445807106793,99.92,99.92,99.81,2.4409807792835636e-06,2.5454389742662897e-06,5.412944119598251e-06,0.019866973934695123,0.002004421824857438,105.74,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,42,400,100,0.0001,1,8,1,1,99.92,99.91,99.81,0.0008119655540212989,0.0009050254593603313,0.0018465194152668118,99.92,99.91,99.81,2.4263067643914837e-06,2.7043879526900128e-06,5.517749741557054e-06,0.014606515625491739,0.0015136852179495172,100.85,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,47,400,100,0.0001,1,8,1,1,99.92,99.92,99.82,0.0007473579607903957,0.0008570762583985925,0.0017397687770426273,99.92,99.92,99.82,2.2332469598040916e-06,2.5611061573727056e-06,5.198759026825428e-06,0.01138508165255189,0.0012013474786055445,95.1,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,52,400,100,0.0001,1,8,1,1,99.93,99.92,99.83,0.0006833428633399308,0.0007930208230391145,0.0016640541143715382,99.93,99.92,99.83,2.0419579414010514e-06,2.3696961761743296e-06,4.972509486833587e-06,0.008974493681453168,0.0009677356743873979,92.75,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,57,400,100,0.0001,1,8,1,1,99.94,99.93,99.84,0.0006281135720200837,0.0007393045234493911,0.0016031097620725632,99.94,99.93,99.84,1.8769222833725507e-06,2.2091824121162063e-06,4.7903945414873306e-06,0.007134802117943764,0.0007802096504457752,89.4,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,63,400,100,0.0001,1,8,1,1,99.94,99.93,99.84,0.0005650689709000289,0.0006687988061457872,0.0015174350701272488,99.94,99.93,99.84,1.6885328477656003e-06,1.998497282329481e-06,4.534383606369374e-06,0.005467884386889637,0.0006234011547990409,98.8,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,68,400,100,0.0001,1,8,1,1,99.95,99.94,99.85,0.0005225311615504324,0.0006229799473658204,0.0014548286562785506,99.95,99.94,99.85,1.5614220956194913e-06,1.8615819499245845e-06,4.34730418419349e-06,0.0044385697506368164,0.0005352630537197807,101.12,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,73,400,100,0.0001,1,8,1,1,99.95,99.94,99.86,0.0005047920858487487,0.0005982246366329491,0.0014143652515485883,99.95,99.94,99.86,1.5084143569765729e-06,1.7876085394163965e-06,4.226390501571586e-06,0.0036376447114162148,0.00046671937494879417,96.87,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,78,400,100,0.0001,1,8,1,1,99.95,99.94,99.86,0.0005263391649350524,0.0006208695122040808,0.0014252493856474757,99.95,99.94,99.86,1.5728010112070478e-06,1.8552757410361664e-06,4.258915396349039e-06,0.003014516313560307,0.00039935052857514056,96.84,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,83,400,100,0.0001,1,8,1,1,99.95,99.94,99.85,0.0005435894709080458,0.0006412958609871566,0.001438079052604735,99.95,99.94,99.85,1.624348442419432e-06,1.9163135220878758e-06,4.297253326512873e-06,0.002511246637441218,0.0003282350950214877,98.94,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,89,400,100,0.0001,1,8,1,1,99.95,99.94,99.86,0.00048078561667352915,0.0005924144061282277,0.0014140733983367682,99.95,99.94,99.86,1.4366785308084218e-06,1.7702461718727136e-06,4.225519205647288e-06,0.002044208524748683,0.000261422326573702,97.78,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,94,400,100,0.0001,1,8,1,1,99.96,99.95,99.86,0.000419251446146518,0.0005518497200682759,0.0014209271175786853,99.96,99.95,99.86,1.2528028037195327e-06,1.649031446504523e-06,4.2459996620891616e-06,0.0017377434216905385,0.00022810117369376513,99.22,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
100,99,400,100,0.0001,1,8,1,1,99.8,99.81,99.58,0.0019988459534943104,0.0019022647757083178,0.004123576916754246,99.8,99.81,99.58,5.972930011921562e-06,5.684327334165573e-06,1.2322028851485811e-05,0.0017079616920091213,0.0003131530271732447,98.76,100,79600,2025_12_01-19_53_05,no,LSTM,stateless,cuda,StandardScaler
200,0,400,100,0.0001,1,8,1,1,99.95,99.94,99.86,0.000502604350913316,0.0005917864036746323,0.0013975610490888357,99.95,99.94,99.86,1.501876909060229e-06,1.7683699979897938e-06,4.176177753834054e-06,0.07263535063713789,0.007965771720985022,101.31,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,5,400,100,0.0001,1,8,1,1,99.95,99.94,99.85,0.0005113836959935725,0.000565746275242418,0.001456149504519999,99.95,99.94,99.85,1.5281115111065446e-06,1.6905568145375582e-06,4.3512518459465355e-06,0.05286795929074287,0.005756323470752951,101.89,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,10,400,100,0.0001,1,8,1,1,99.95,99.95,99.85,0.0004941317019984126,0.0005411262391135097,0.00144620006904006,99.95,99.95,99.85,1.4765590776733006e-06,1.616987788111146e-06,4.3215200093982276e-06,0.038637208808213475,0.00418682135968531,102.62,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
200,16,400,100,0.0001,1,8,1,1,99.95,99.95,99.85,0.0004734745598398149,0.0005182849708944559,0.0014308177633211017,99.95,99.95,99.85,1.4148315585771343e-06,1.5487335076613817e-06,4.275554601917975e-06,0.02673210181295872,0.002950884091829312,103.3,100,79200,2025_12_01-20_26_08,no,LSTM,stateless,cuda,StandardScaler
