lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
48,0,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3336869776248932,0.3871513167503988,66.85,37.42,26.011972427368164,66.66984570521414,66.85,-11700.19,0.5049717831611633,0.08064933101633773,199.26,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,5,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3247271478176117,0.38104037634325216,67.74,29.86,25.313566207885742,72.53415826779008,67.74,-13240.61,0.49892594915628435,0.09614502699946452,204.77,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,10,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3191259205341339,0.3890615449039731,68.3,33.32,24.87696647644043,69.35862863419652,68.3,-12432.62,0.46016203199326994,0.08365418050153456,203.02,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,16,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3257838785648346,0.37673708389101085,67.63,34.45,25.395950317382812,69.28069217244386,67.64,-12418.37,0.44676425944268705,0.08478054808005882,216.66,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,21,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3297431170940399,0.391303474755655,67.24,24.34,25.70466423034668,71.24945739372373,67.24,-13733.07,0.420239863589406,0.08637455434293352,206.8,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,26,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3247145116329193,0.3803868329188554,67.74,30.53,25.31256103515625,71.2416734200716,67.74,-13079.51,0.40805555021762846,0.08517629029886092,219.65,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,31,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.320374459028244,0.38051915743630377,68.17,20.69,24.974328994750977,74.58035264444351,68.17,-14489.43,0.3816184627264738,0.0850437129292883,198.49,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,37,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.321879118680954,0.39444150267982625,68.02,22.34,25.09161949157715,72.1464123167634,68.02,-14081.56,0.365292042016983,0.08500897733104357,205.72,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,42,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.3226073086261749,0.38679768246933816,67.95,23.5,25.148374557495117,72.97415533815622,67.95,-13940.02,0.35014926771074534,0.08341342523870157,203.94,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
48,47,96,1,96,1,96,300,24,0.0002,15000,5000,2,0.32465481758117676,0.36920170790113044,67.75,21.36,25.307931900024414,75.45280084677339,67.75,-14657.56,0.32999656462669374,0.07995034051949626,217.66,185700,2025_12_03-18_50_21,no,LSTM,stateless,cuda,StandardScaler
