lookback_length_L,m,forecasting_length_H,input_size,hidden_size,number_of_layers,output_size,num_of_epochs,batch_size_b,learning_rate,length_train,length_val,variate,mse_train_scaled,mse_val_scaled,r2_train_scaled,r2_val_scaled,mse_train_unscaled,mse_val_unscaled,r2_train_unscaled,r2_val_unscaled,loss_mean_last1000,loss_std_last1000,time_training,num_of_iterations,id,weighted,architecture,training_type,device,scaler
48,0,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2869260013103485,0.3766022975401332,71.51,43.23,0.00033706091926433146,0.9118470409352865,71.51,-1.04,0.39540170013904574,0.035977138296396066,117.77,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,5,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2883678376674652,0.3826476265376966,71.37,41.94,0.0003387545875739306,0.9118579060282735,71.37,-1.06,0.35723361587524416,0.03468246173660464,123.39,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,10,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2895318567752838,0.3775403874238864,71.25,41.86,0.0003401221474632621,0.9116175734127562,71.25,-1.03,0.3386547357141972,0.034921170482409496,122.22,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,16,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2902783751487732,0.3855603306121858,71.18,40.4,0.0003409991040825844,0.912202017355178,71.18,-1.11,0.3247257273346186,0.035275833654536924,123.78,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,21,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.29095807671546936,0.3813945739530027,71.11,42.27,0.00034179756767116487,0.9124128885389794,71.11,-1.12,0.3132806644141674,0.03522073271648181,119.49,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,26,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.29317232966423035,0.3804960612008082,70.89,43.06,0.0003443987516220659,0.9129437592324047,70.89,-1.17,0.309942275762558,0.03578019896817301,119.72,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,31,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2927335500717163,0.38838407908167155,70.94,42.33,0.00034388326457701623,0.9132471092134005,70.94,-1.19,0.3043785707205534,0.03565341586590686,117.53,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,37,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2921689450740814,0.39246077709831295,70.99,39.92,0.00034321987186558545,0.9131706197879144,70.99,-1.22,0.29986677764356134,0.03663518395077995,117.62,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,42,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.2937846779823303,0.39563110919580574,70.83,39.93,0.0003451180236879736,0.9130250850514997,70.83,-1.2,0.29734911972284317,0.03696466163192558,114.24,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
48,47,96,1,96,1,96,400,24,5e-05,6640,3360,9,0.29167354106903076,0.3943184138153724,71.04,40.38,0.0003426379698794335,0.9133506654185198,71.04,-1.23,0.29466176131367683,0.03684119915138826,125.86,108000,2025_12_03-12_37_06,no,LSTM,stateless,cuda,StandardScaler
