timesteps_per_sequence_N,m,num_of_epochs,batch_size_b,learning_rate,input_size,hidden_size,number_of_layers,output_size,r2_train_scaled,r2_val_scaled,r2_test_scaled,mse_train_scaled,mse_val_scaled,mse_test_scaled,r2_train,r2_val,r2_test,mse_train,mse_val,mse_test,mse_mean,mse_std,time_training,mse_num_of_last_steps,num_of_iterations,id,weighted,architecture,training_type,device,scaler
100,0,400,100,0.0001,1,8,1,1,99.78,99.73,99.49,0.002200749469920993,0.0028251209296286106,0.005108228884637356,99.78,99.73,99.49,0.00013180627138353884,0.00016920085181482136,0.00030593969859182835,0.14071474887430668,0.01677368906288463,99.88,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,5,400,100,0.0001,1,8,1,1,99.78,99.68,99.47,0.0022372116800397635,0.0032606711611151695,0.005286201369017363,99.78,99.68,99.47,0.0001339900481980294,0.00019528661505319178,0.0003165987436659634,0.09561934694647789,0.01301932228953464,96.39,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,10,400,100,0.0001,1,8,1,1,99.75,99.64,99.37,0.0024477075785398483,0.0037122867070138454,0.006245521828532219,99.75,99.64,99.37,0.0001465969835408032,0.00022233458003029227,0.0003740538959391415,0.04853070883080363,0.006889867668344038,97.82,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,16,400,100,0.0001,1,8,1,1,99.82,99.7,99.43,0.0018372464692220092,0.0031168677378445864,0.005665089003741741,99.82,99.7,99.43,0.0001100355148082599,0.00018667400581762195,0.0003392909129615873,0.012168152378872038,0.0014520490777089297,99.81,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,21,400,100,0.0001,1,8,1,1,99.85,99.73,99.51,0.0015266223344951868,0.0027803340926766396,0.004881944973021746,99.85,99.73,99.51,9.143175702774897e-05,0.00016651846817694604,0.0002923871797975153,0.003793585968669504,0.000294771572359434,94.27,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,26,400,100,0.0001,1,8,1,1,99.84,99.71,99.5,0.0016172744799405336,0.002996454481035471,0.004968935623764992,99.84,99.71,99.5,9.68610547715798e-05,0.0001794622658053413,0.0002975972311105579,0.0025696291425265374,0.0001898375796865362,100.07,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,31,400,100,0.0001,1,8,1,1,99.83,99.71,99.49,0.0016685473965480924,0.003015980590134859,0.005061994306743145,99.83,99.71,99.49,9.993187995860353e-05,0.00018063171592075378,0.0003031706437468529,0.0020023308810777963,0.00013892997018020024,95.11,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,36,400,100,0.0001,1,8,1,1,99.83,99.74,99.49,0.001734660123474896,0.0026707437355071306,0.005132738035172224,99.83,99.74,99.49,0.00010389147064415738,0.00015995497233234346,0.00030740757938474417,0.0018211029819212854,0.00012543527706726694,95.75,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,42,400,100,0.0001,1,8,1,1,99.38,98.83,98.4,0.00614958954975009,0.012063848786056042,0.016217967495322227,99.38,98.83,98.4,0.00036830836324952543,0.0007225223816931248,0.0009713189792819321,0.002185495075536892,0.00014357752715714374,95.17,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,47,400,100,0.0001,1,8,1,1,99.24,98.6,98.19,0.007584065198898315,0.014432818628847599,0.018267061561346054,99.24,98.6,98.19,0.00045422129915095866,0.0008644037297926843,0.0010940424399450421,0.002146821797359735,0.00016096799265620374,99.87,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,52,400,100,0.0001,1,8,1,1,99.18,98.51,98.14,0.008099629543721676,0.015348630957305431,0.01878599263727665,99.18,98.51,98.14,0.0004850992700085044,0.000919253274332732,0.0011251219548285007,0.0020627073058858514,0.000174488665718787,101.69,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,57,400,100,0.0001,1,8,1,1,99.06,98.27,97.95,0.009310903958976269,0.01781708188354969,0.020748179405927658,99.06,98.27,97.95,0.0005576442927122116,0.001067092758603394,0.001242640195414424,0.0020424501434899867,0.00016745092198566368,92.66,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,63,400,100,0.0001,1,8,1,1,99.05,98.24,97.9,0.009372218511998653,0.01808246783912182,0.02121766097843647,99.05,98.24,97.9,0.0005613165558315814,0.0010829867096617818,0.0012707581045106053,0.0020549061032943427,0.00017249466731652192,95.21,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,68,400,100,0.0001,1,8,1,1,99.1,98.33,97.96,0.008897559717297554,0.017195546999573708,0.02063794806599617,99.1,98.33,97.96,0.0005328885745257139,0.0010298676788806915,0.0012360385153442621,0.002106356469448656,0.00018701370920718742,100.04,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,73,400,100,0.0001,1,8,1,1,99.18,98.45,98.05,0.008172900415956974,0.01591736078262329,0.019664062187075615,99.18,98.45,98.05,0.0004894875455647707,0.0009533151751384139,0.0011777108302339911,0.002161296694539487,0.000234527066535885,102.65,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,78,400,100,0.0001,1,8,1,1,99.26,98.61,98.18,0.0073869857005774975,0.014324143528938293,0.018373873084783554,99.26,98.61,98.18,0.0004424179205670953,0.0008578950655646622,0.0011004396947100759,0.002176008670357987,0.0002656339639780131,96.31,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,83,400,100,0.0001,1,8,1,1,99.38,98.85,98.39,0.00622662715613842,0.011879914440214634,0.016309360042214394,99.38,98.85,98.39,0.0003729223390109837,0.0007115063490346074,0.0009767926530912519,0.002219493844313547,0.0002916570370537761,93.69,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,89,400,100,0.0001,1,8,1,1,99.56,99.24,98.79,0.004347650799900293,0.0077214729972183704,0.01207259763032198,99.56,99.24,98.79,0.0002603874891065061,0.0004624508728738874,0.0007230465416796505,0.0024028012424241753,0.0003792331566286071,97.17,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
100,94,400,100,0.0001,1,8,1,1,99.62,99.45,99.14,0.00373854604549706,0.005656838417053223,0.00858388189226389,99.62,99.45,99.14,0.00022390724916476756,0.00033879672992043197,0.0005141019355505705,0.003297547138063237,0.0006508794918946801,97.71,100,79600,2025_12_02-01_12_53,no,LSTM,stateless,cuda,StandardScaler
